Package,File,"Number of errors"
@gar_promisify,index.ts,3
@humanwhocodes_object-schema,.eslintrc.ts,0
@humanwhocodes_object-schema,src/index.ts,0
@humanwhocodes_object-schema,src/merge-strategy.ts,7
@humanwhocodes_object-schema,src/object-schema.ts,21
@humanwhocodes_object-schema,src/validation-strategy.ts,8
@sellside_emitter,examples.ts,5
@sellside_emitter,index.ts,42
acorn-import-assertions,post-build.ts,0
acorn-import-assertions,run_test262.ts,0
acorn-import-assertions,src/index.ts,18
aproba,index.ts,13
arr-flatten,benchmark/check.ts,0
arr-flatten,benchmark/code/arr-flatten-0.1.0 (do-while).ts,0
arr-flatten,benchmark/code/arr-flatten-0.2.0.ts,0
arr-flatten,benchmark/code/arr-flatten-1.0.1.ts,0
arr-flatten,benchmark/code/compute-flatten.ts,0
arr-flatten,benchmark/code/do-while-slice.ts,0
arr-flatten,benchmark/code/flatit.ts,0
arr-flatten,benchmark/code/flatten-array.ts,0
arr-flatten,benchmark/code/flatten.ts,0
arr-flatten,benchmark/code/just-flatten-it.ts,0
arr-flatten,benchmark/code/lib-array-flatten.ts,0
arr-flatten,benchmark/code/lodash.flattendeep.ts,0
arr-flatten,benchmark/code/m_flattened.ts,0
arr-flatten,benchmark/code/utils-flatten.ts,0
arr-flatten,benchmark/fixtures/med.ts,0
arr-flatten,benchmark/fixtures/small-med.ts,0
arr-flatten,benchmark/fixtures/small.ts,0
arr-flatten,benchmark/index.ts,0
arr-flatten,benchmark/libs.ts,0
arr-flatten,index.ts,0
assign-symbols,example.ts,4
assign-symbols,index.ts,6
async-each,index.ts,3
async-limiter,example/index.ts,5
async-limiter,index.ts,25
asynckit,bench.ts,3
asynckit,index.ts,0
asynckit,lib/abort.ts,3
asynckit,lib/async.ts,2
asynckit,lib/defer.ts,1
asynckit,lib/iterate.ts,2
asynckit,lib/readable_asynckit.ts,15
asynckit,lib/readable_parallel.ts,5
asynckit,lib/readable_serial.ts,5
asynckit,lib/readable_serial_ordered.ts,4
asynckit,lib/state.ts,1
asynckit,lib/streamify.ts,9
asynckit,lib/terminator.ts,7
asynckit,parallel.ts,3
asynckit,serial.ts,2
asynckit,serialOrdered.ts,6
asynckit,stream.ts,4
at-least-node,index.ts,0
at-least-node,matrix.test.ts,6
at-least-node,sanity.test.ts,3
available-typed-arrays,index.ts,0
aws-sign2,index.ts,6
buffer-equal-constant-time,index.ts,0
builtin-status-codes,browser.ts,0
builtin-status-codes,build.ts,0
builtin-status-codes,index.ts,0
cli-width,index.ts,0
code-point-at,index.ts,0
console-browserify,index.ts,12
console-control-strings,console-test.ts,0
console-control-strings,index.ts,2
copy-descriptor,examples/proto.ts,3
copy-descriptor,index.ts,2
core-util-is,lib/util.ts,0
cyclist,index.ts,4
deep-is,example/cmp.ts,0
deep-is,index.ts,10
delayed-stream,lib/delayed_stream.ts,10
domain-browser,source/index.ts,2
duplexer,index.ts,5
es6-object-assign,auto.ts,0
es6-object-assign,dist/object-assign-auto.min.ts,10
es6-object-assign,dist/object-assign-auto.ts,9
es6-object-assign,dist/object-assign.min.ts,9
es6-object-assign,dist/object-assign.ts,11
es6-object-assign,index.ts,1
figgy-pudding,index.ts,37
for-in,index.ts,0
fs-constants,browser.ts,0
fs-constants,index.ts,0
fs-monkey,demo/fs-1.ts,NA
fs-monkey,demo/require-1.ts,NA
fs-monkey,demo/require-2.ts,NA
fs-monkey,demo/yolo-1.ts,NA
fs-monkey,src/correctPath.ts,NA
fs-monkey,src/index.ts,NA
fs-monkey,src/patchRequire.ts,NA
fs-monkey,src/util/lists.ts,NA
fs.realpath,.github/workflows/package-json-repo.ts,0
fs.realpath,index.ts,0
fs.realpath,old.ts,28
growly,example/bakery.ts,0
growly,example/simple.ts,0
growly,lib/gntp.ts,19
growly,lib/growly.ts,10
har-schema,lib/index.ts,0
has-bigints,index.ts,0
has-unicode,index.ts,2
infer-owner,index.ts,3
is-accessor-descriptor,index.ts,6
is-arrayish,index.ts,1
is-descriptor,index.ts,4
is-extglob,index.ts,0
is-map,index.ts,4
is-negative-zero,index.ts,2
